Sample	Human counts	Human percentage	total_reads	Mouse counts	Mouse percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	No hits counts	No hits percentage
SRR1795039_2_screen	7973	7.97	99935	94969	95.03	0	0.0	107	0.11	4726	4.73
SRR1795040_1_screen	7602	7.620000000000001	99910	96535	96.63	1	0.0	120	0.12	3187	3.19
SRR1795040_2_screen	7789	7.800000000000001	99910	94762	94.84	1	0.0	110	0.11	4945	4.95
SRR1795041_1_screen	9282	9.29	99990	96405	96.41000000000001	0	0.0	131	0.13	3259	3.26
SRR1795041_2_screen	9135	9.14	99990	92189	92.2	0	0.0	120	0.12	7459	7.46
SRR1795042_1_screen	8098	8.110000000000001	100013	96700	96.67999999999999	3	0.0	164	0.16	3040	3.04
SRR1795042_2_screen	8190	8.2	100013	94550	94.55	1	0.0	156	0.16	5170	5.17
SRR1795043_1_screen	7732	7.73	99979	96460	96.47999999999999	2	0.0	135	0.14	3309	3.31
SRR1795043_2_screen	7810	7.82	99979	94604	94.62	1	0.0	126	0.13	5128	5.13
SRR1795044_1_screen	7789	7.800000000000001	99929	96681	96.75	1	0.0	128	0.13	3047	3.05
SRR1795044_2_screen	7863	7.869999999999999	99929	94981	95.05	1	0.0	125	0.13	4736	4.74
SRR1795045_1_screen	6861	6.859999999999999	100032	96412	96.38000000000001	1	0.0	97	0.1	3481	3.48
SRR1795045_2_screen	7329	7.32	100032	95351	95.32	1	0.0	83	0.08	4551	4.55
SRR1795046_1_screen	7110	7.109999999999999	99934	96470	96.53	0	0.0	72	0.07	3347	3.35
SRR1795046_2_screen	7402	7.41	99934	95120	95.17999999999999	0	0.0	66	0.07	4696	4.7
SRR1795047_1_screen	6941	6.93	100040	96089	96.05	0	0.0	75	0.07	3821	3.82
SRR1795047_2_screen	7352	7.34	100040	95321	95.29	1	0.0	67	0.07	4581	4.58
SRR1795048_1_screen	7075	7.0600000000000005	100077	96760	96.68	0	0.0	81	0.08	3192	3.19
SRR1795048_2_screen	7321	7.3100000000000005	100077	95925	95.85	0	0.0	77	0.08	4013	4.01
